DBN,School Name,Cohort,Demographic,Total Grads - % of cohort,Total Regents - % of cohort,Advanced Regents - % of cohort,Regents w/o Advanced - % of cohort,Local - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2005,Total Cohort,57%,45.2%,2.2%,43%,11.9%,29.6%,9.6%
05M685,BREAD  &  ROSES INTEGRATED ARTS HIGH,2006,Total Cohort,37.200000000000003%,21.5%,0%,21.5%,15.7%,33.9%,18.2%
05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2005,Total Cohort,99.1%,99.1%,94.4%,4.6%,0%,0%,0.9%
05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2006,Total Cohort,95.3%,95.3%,87.7%,7.5%,0%,4.7%,0%
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,2005,Total Cohort,76.3%,53.3%,3.3%,50%,23%,11.8%,7.2%
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,2006,Total Cohort,74.099999999999994%,54.6%,5.4%,49.2%,19.5%,9.699999999999999%,9.199999999999999%
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,2005,Total Cohort,56.8%,32.4%,5.4%,27%,23.6%,29.1%,8.800000000000001%
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,2006,Total Cohort,62.7%,49.7%,10.6%,39.1%,13%,23%,12.4%
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,2005,Total Cohort,74.7%,54.7%,11.3%,43.3%,20%,21.3%,1.3%
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,2006,Total Cohort,71.3%,56.7%,9.4%,47.4%,14.6%,12.9%,9.4%
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SC,2005,Total Cohort,66.7%,41.4%,11.7%,29.6%,25.3%,16.7%,9.9%
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SC,2006,Total Cohort,55.7%,32.299999999999997%,8.9%,23.4%,23.4%,18.399999999999999%,20.9%
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,2005,Total Cohort,86.4%,86.4%,30.7%,55.7%,0%,11.4%,1.3%
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,2006,Total Cohort,71.2%,64.8%,16.100000000000001%,48.7%,6.4%,21.7%,3%
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIE,2005,Total Cohort,73%,39.299999999999997%,11.2%,28.1%,33.700000000000003%,16.899999999999999%,10.1%
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIE,2006,Total Cohort,81.3%,53.8%,14.3%,39.6%,27.5%,8.800000000000001%,8.800000000000001%
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BO,2005,Total Cohort,85.2%,52.5%,11.5%,41%,32.799999999999997%,11.5%,3.3%
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BO,2006,Total Cohort,80%,63.8%,7.5%,56.3%,16.3%,16.3%,3.8%
07X321,CROTONA ACADEMY HIGH SCHOOL,2005,Total Cohort,8%,6%,0%,6%,2%,70%,20%
07X321,CROTONA ACADEMY HIGH SCHOOL,2006,Total Cohort,14.3%,8.9%,0%,8.9%,5.4%,62.5%,17.899999999999999%
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,2006,Total Cohort,s,s,s,s,s,s,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,2005,Total Cohort,16%,1.3%,0%,1.3%,14.7%,66.7%,16%
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,2006,Total Cohort,10%,0%,0%,0%,10%,74%,16%
07X381,BRONX HAVEN HIGH SCHOOL   ,2005,Total Cohort,9.4%,0%,0%,0%,9.4%,81.099999999999994%,7.5%
07X381,BRONX HAVEN HIGH SCHOOL   ,2006,Total Cohort,s,s,s,s,s,s,s
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,2005,Total Cohort,50%,8.5%,0%,8.5%,41.5%,26.8%,19.5%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,2006,Total Cohort,64.2%,51.9%,0%,51.9%,12.3%,12.3%,19.8%
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH S,2005,Total Cohort,56.7%,29.9%,2.1%,27.8%,26.8%,29.9%,6.2%
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH S,2006,Total Cohort,63.8%,33.299999999999997%,0%,33.299999999999997%,30.4%,14.5%,14.5%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,2005,Total Cohort,78%,63.4%,26.8%,36.6%,14.6%,18.3%,2.4%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,2006,Total Cohort,83.6%,80.3%,41%,39.299999999999997%,3.3%,14.8%,1.6%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL ST,2005,Total Cohort,60.6%,49%,1%,48.1%,11.5%,21.2%,9.6%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL ST,2006,Total Cohort,60.3%,43.4%,10.3%,33.1%,16.899999999999999%,18.399999999999999%,7.4%
07X527,BRONX LEADERSHIP ACADEMY II HS,2005,Total Cohort,74.599999999999994%,40.799999999999997%,4.2%,36.6%,33.799999999999997%,9.9%,7%
07X527,BRONX LEADERSHIP ACADEMY II HS,2006,Total Cohort,72.5%,54.9%,6.9%,48%,17.600000000000001%,2%,14.7%
07X547,NEW EXPLORERS HIGH SCHOOL,2005,Total Cohort,70.8%,36.1%,1.4%,34.700000000000003%,34.700000000000003%,11.1%,12.5%
07X547,NEW EXPLORERS HIGH SCHOOL,2006,Total Cohort,44.4%,22.2%,0%,22.2%,22.2%,27.2%,17.3%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN,2005,Total Cohort,81.900000000000006%,65.3%,11.1%,54.2%,16.7%,13.9%,1.4%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN,2006,Total Cohort,79.3%,61%,3.7%,57.3%,18.3%,14.6%,6.1%
07X551,BRONX ACADEMY OF LETTERS,2005,Total Cohort,88.4%,79.7%,24.6%,55.1%,8.699999999999999%,8.699999999999999%,1.4%
07X551,BRONX ACADEMY OF LETTERS,2006,Total Cohort,73.7%,63.2%,5.3%,57.9%,10.5%,14.5%,6.6%
07X600,ALFRED E. SMITH CAREER AND TECHNICAL,2005,Total Cohort,42.1%,26.2%,18.5%,7.7%,15.9%,25.5%,25.8%
07X600,ALFRED E. SMITH CAREER AND TECHNICAL,2006,Total Cohort,40.799999999999997%,20.2%,1.5%,18.7%,20.6%,35.200000000000003%,18%
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL E,2005,Total Cohort,41.3%,28.1%,0.9%,27.2%,13.2%,33%,16.600000000000001%
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL E,2006,Total Cohort,48.5%,28.6%,3.4%,25.2%,19.899999999999999%,18.5%,21.6%
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,2005,Total Cohort,66.7%,46.8%,7.9%,38.9%,19.8%,18.3%,8.699999999999999%
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,2006,Total Cohort,69.400000000000006%,56.7%,7.5%,49.3%,12.7%,8.199999999999999%,18.7%
08X282,WOMEN'S ACADEMY OF EXCELLENCE,2006,Total Cohort,66.7%,65.3%,10.7%,54.7%,1.3%,16%,16%
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL T,2005,Total Cohort,69.5%,51.6%,3.2%,48.4%,17.899999999999999%,15.8%,9.5%
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL T,2006,Total Cohort,65.8%,49.6%,3.4%,46.2%,16.2%,17.100000000000001%,13.7%
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESE,2005,Total Cohort,40.9%,37.5%,0%,37.5%,3.4%,37.5%,12.5%
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESE,2006,Total Cohort,40.5%,19%,4.1%,14.9%,21.5%,37.200000000000003%,13.2%
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE,2005,Total Cohort,50%,20.3%,0%,20.3%,29.7%,20.3%,24.6%
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE,2006,Total Cohort,56.4%,32.700000000000003%,0%,32.700000000000003%,23.8%,20.8%,17.8%
08X312,MILLENNIUM ART ACADEMY,2005,Total Cohort,59.8%,40.200000000000003%,2%,38.200000000000003%,19.600000000000001%,32.4%,6.9%
08X312,MILLENNIUM ART ACADEMY,2006,Total Cohort,58.3%,40.700000000000003%,3.7%,37%,17.600000000000001%,30.6%,9.300000000000001%
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNIT,2005,Total Cohort,s,s,s,s,s,s,s
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNIT,2006,Total Cohort,57.3%,40.4%,0%,40.4%,16.899999999999999%,28.1%,14.6%
08X377,BRONX COMMUNITY HIGH SCHOOL,2005,Total Cohort,5.1%,2%,0%,2%,3.1%,78.599999999999994%,13.3%
08X377,BRONX COMMUNITY HIGH SCHOOL,2006,Total Cohort,12.7%,1.3%,0%,1.3%,11.4%,60.8%,24.1%
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2005,Total Cohort,45.5%,33.799999999999997%,12.1%,21.6%,11.7%,32.4%,14.5%
08X405,HERBERT H. LEHMAN HIGH SCHOOL,2006,Total Cohort,44.6%,35.299999999999997%,12.5%,22.8%,9.199999999999999%,30.9%,21.2%
08X450,ADLAI E. STEVENSON HIGH SCHOOL,2005,Total Cohort,33.1%,14.4%,2.3%,12.2%,18.600000000000001%,20.5%,37.299999999999997%
08X450,ADLAI E. STEVENSON HIGH SCHOOL,2006,Total Cohort,s,s,s,s,s,s,s
08X452,BRONX GUILD,2005,Total Cohort,53.5%,7%,0%,7%,46.5%,23.3%,16.3%
08X452,BRONX GUILD,2006,Total Cohort,62.5%,0%,0%,0%,62.5%,26.6%,6.3%
08X519,FELISA RINCON DE GAUTIER INSTITUTE FO,2005,Total Cohort,54.7%,31.6%,0%,31.6%,23.2%,34.700000000000003%,10.5%
08X519,FELISA RINCON DE GAUTIER INSTITUTE FO,2006,Total Cohort,52.5%,31.3%,0%,31.3%,21.2%,26.3%,17.2%
08X530,BANANA KELLY HIGH SCHOOL,2005,Total Cohort,51.8%,28.9%,0%,28.9%,22.8%,29.8%,12.3%
08X530,BANANA KELLY HIGH SCHOOL,2006,Total Cohort,41.7%,25%,2.8%,22.2%,16.7%,26.9%,23.1%
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEA,2005,Total Cohort,42.5%,17.899999999999999%,0.9%,17%,24.5%,34.9%,13.2%
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEA,2006,Total Cohort,49.4%,25.8%,1.1%,24.7%,23.6%,31.5%,15.7%
08X560,HIGH SCHOOL X560 - BRONX ACADEMY HIGH,2005,Total Cohort,13.9%,3.5%,0%,3.5%,10.4%,68.099999999999994%,14.6%
08X560,HIGH SCHOOL X560 - BRONX ACADEMY HIGH,2006,Total Cohort,19.899999999999999%,5.7%,0%,5.7%,14.2%,59.6%,17%
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC,2005,Total Cohort,44.7%,31.9%,6.1%,25.8%,12.8%,27.4%,25.8%
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC,2006,Total Cohort,43%,30.8%,4.3%,26.5%,12.2%,25.3%,25.8%
08X686,NEW SCHOOL FOR ARTS AND SCIENCES,2005,Total Cohort,79.5%,60.2%,25%,35.200000000000003%,19.3%,8%,5.7%
08X686,NEW SCHOOL FOR ARTS AND SCIENCES,2006,Total Cohort,s,s,s,s,s,s,s
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCH,2005,Total Cohort,50%,21.3%,0%,21.3%,28.7%,36.200000000000003%,11.7%
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCH,2006,Total Cohort,57.3%,33.299999999999997%,1%,32.299999999999997%,24%,32.299999999999997%,8.300000000000001%
09X231,EAGLE ACADEMY FOR YOUNG MEN,2005,Total Cohort,64.7%,40%,0%,40%,24.7%,29.4%,5.9%
09X231,EAGLE ACADEMY FOR YOUNG MEN,2006,Total Cohort,63%,47%,0%,47%,16%,32%,4%
09X239,URBAN ASSEMBLY ACADEMY FOR HISTORY AN,2005,Total Cohort,53.5%,26.8%,0%,26.8%,26.8%,22.5%,18.3%
09X239,URBAN ASSEMBLY ACADEMY FOR HISTORY AN,2006,Total Cohort,41.9%,14.9%,0%,14.9%,27%,28.4%,24.3%
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY:,2005,Total Cohort,73.599999999999994%,56.6%,15.1%,41.5%,17%,18.899999999999999%,3.8%
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY:,2006,Total Cohort,60%,55%,3.3%,51.7%,5%,33.299999999999997%,5%
09X252,MOTT HALL BRONX HIGH SCHOOL,2005,Total Cohort,88.5%,68.3%,6.7%,61.5%,20.2%,7.7%,1.9%
09X252,MOTT HALL BRONX HIGH SCHOOL,2006,Total Cohort,77.599999999999994%,75.7%,8.4%,67.3%,1.9%,16.8%,1.9%
09X260,BRONX CENTER FOR SCIENCE AND MATHEMAT,2005,Total Cohort,78.5%,72%,28%,44.1%,6.5%,20.399999999999999%,0%
09X260,BRONX CENTER FOR SCIENCE AND MATHEMAT,2006,Total Cohort,88%,77%,29%,48%,11%,8%,4%
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPED,2005,Total Cohort,68%,49.5%,0%,49.5%,18.399999999999999%,15.5%,14.6%
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPED,2006,Total Cohort,75%,53.3%,0.8%,52.5%,21.7%,10.8%,11.7%
09X276,LEADERSHIP INSTITUTE,2005,Total Cohort,67.7%,41.9%,4.8%,37.1%,25.8%,1.6%,24.2%
09X276,LEADERSHIP INSTITUTE,2006,Total Cohort,53.7%,49.3%,4.5%,44.8%,4.5%,19.399999999999999%,20.9%
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUD,2005,Total Cohort,86.9%,32.799999999999997%,0%,32.799999999999997%,54.1%,0%,8.199999999999999%
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUD,2006,Total Cohort,67.7%,36.4%,0%,36.4%,31.3%,17.2%,15.2%
09X329,DREAMYARD PREPARATORY SCHOOL,2005,Total Cohort,s,s,s,s,s,s,s
09X329,DREAMYARD PREPARATORY SCHOOL,2006,Total Cohort,43%,31.2%,3.2%,28%,11.8%,39.799999999999997%,16.100000000000001%
09X403,BRONX INTERNATIONAL HIGH SCHOOL,2005,Total Cohort,73.8%,36.1%,1.6%,34.4%,37.700000000000003%,3.3%,11.5%
09X403,BRONX INTERNATIONAL HIGH SCHOOL,2006,Total Cohort,65.900000000000006%,31.8%,0%,31.8%,34.1%,28.4%,4.5%
09X404,SCHOOL FOR EXCELLENCE,2005,Total Cohort,77.099999999999994%,28.9%,0%,28.9%,48.2%,6%,12%
09X404,SCHOOL FOR EXCELLENCE,2006,Total Cohort,54.6%,29.6%,0%,29.6%,25%,28.7%,9.300000000000001%
09X412,BRONX HIGH SCHOOL OF BUSINESS,2005,Total Cohort,64.7%,47.1%,19.600000000000001%,27.5%,17.600000000000001%,2%,27.5%
09X412,BRONX HIGH SCHOOL OF BUSINESS,2006,Total Cohort,49.1%,34.5%,11.8%,22.7%,14.5%,33.6%,16.399999999999999%
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2005,Total Cohort,95.8%,83.3%,27.8%,55.6%,12.5%,1.4%,1.4%
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2006,Total Cohort,83.5%,70.900000000000006%,24.3%,46.6%,12.6%,14.6%,1%
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,2005,Total Cohort,77.400000000000006%,48.4%,0%,48.4%,29%,8.1%,3.2%
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,2006,Total Cohort,45.5%,30.9%,0.8%,30.1%,14.6%,41.5%,4.1%
09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND,2005,Total Cohort,67.3%,45.9%,4.1%,41.8%,21.4%,24.5%,5.1%
09X505,BRONX SCHOOL FOR LAW  GOVERNMENT AND,2006,Total Cohort,77%,57.4%,3.3%,54.1%,19.7%,13.9%,4.1%
09X517,FREDERICK DOUGLASS ACADEMY III SECOND,2005,Total Cohort,76.8%,46.4%,1.4%,44.9%,30.4%,20.3%,1.4%
09X517,FREDERICK DOUGLASS ACADEMY III SECOND,2006,Total Cohort,78.2%,51.7%,0%,51.7%,26.4%,18.399999999999999%,1.1%
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2005,Total Cohort,60.3%,37.799999999999997%,8.300000000000001%,29.5%,22.4%,24.4%,9%
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,2006,Total Cohort,68.5%,52.8%,9%,43.8%,15.7%,9%,18.5%
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2005,Total Cohort,82.1%,66.7%,5.1%,61.5%,15.4%,2.6%,12.8%
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,2006,Total Cohort,78.7%,68.099999999999994%,12.8%,55.3%,10.6%,14.9%,4.3%
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,2005,Total Cohort,77.8%,57.8%,12.6%,45.2%,20%,16.3%,4.4%
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,2006,Total Cohort,86.7%,77%,13.3%,63.7%,9.6%,8.9%,3.7%
10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,2005,Total Cohort,75%,56.6%,28.9%,27.6%,18.399999999999999%,7.9%,11.8%
10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,2006,Total Cohort,75.3%,60.3%,15.1%,45.2%,15.1%,16.399999999999999%,5.5%
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOO,2005,Total Cohort,91.5%,74.599999999999994%,5.6%,69%,16.899999999999999%,7%,1.4%
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOO,2006,Total Cohort,93.5%,79%,21%,58.1%,14.5%,4.8%,1.6%
10X237,THE MARIE CURIE SCHOOL FOR MEDICINE,2005,Total Cohort,90.3%,68.099999999999994%,1.4%,66.7%,22.2%,5.6%,2.8%
10X237,THE MARIE CURIE SCHOOL FOR MEDICINE,2006,Total Cohort,73.099999999999994%,53.7%,0%,53.7%,19.399999999999999%,22.4%,4.5%
10X243,WEST BRONX ACADEMY FOR THE FUTURE,2005,Total Cohort,51.4%,20.8%,0%,20.8%,30.6%,30.6%,11.1%
10X243,WEST BRONX ACADEMY FOR THE FUTURE,2006,Total Cohort,48.6%,38.9%,2.8%,36.1%,9.699999999999999%,23.6%,16.7%
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,2005,Total Cohort,57.5%,33.1%,11%,22%,24.4%,18.899999999999999%,22%
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,2006,Total Cohort,56.8%,34.700000000000003%,10.199999999999999%,24.6%,22%,31.4%,11%
10X284,BRONX SCHOOL OF LAW AND FINANCE,2005,Total Cohort,66.7%,54.3%,9.5%,44.8%,12.4%,19%,10.5%
10X284,BRONX SCHOOL OF LAW AND FINANCE,2006,Total Cohort,58.6%,50.5%,5.1%,45.5%,8.1%,17.2%,19.2%
10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,2005,Total Cohort,29.3%,3.7%,0%,3.7%,25.6%,40.200000000000003%,26.8%
10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,2006,Total Cohort,21.2%,18.600000000000001%,0%,18.600000000000001%,2.7%,54.9%,21.2%
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,2005,Total Cohort,72.2%,68.900000000000006%,30%,38.9%,3.3%,21.1%,3.3%
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,2006,Total Cohort,59%,45.8%,0%,45.8%,13.3%,27.7%,12%
10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,2005,Total Cohort,61.6%,36%,8.800000000000001%,27.2%,25.6%,20.8%,13.6%
10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,2006,Total Cohort,62.6%,32.200000000000003%,4.3%,27.8%,30.4%,24.3%,12.2%
10X374,KNOWLEDGE AND POWER PREPARATORY ACADE,2005,Total Cohort,s,s,s,s,s,s,s
10X374,KNOWLEDGE AND POWER PREPARATORY ACADE,2006,Total Cohort,s,s,s,s,s,s,s
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNA,2006,Total Cohort,s,s,s,s,s,s,s
10X430,WALTON HIGH SCHOOL,2005,Total Cohort,s,s,s,s,s,s,s
10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,2005,Total Cohort,52%,30.7%,2.4%,28.3%,21.3%,25.2%,18.100000000000001%
10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,2006,Total Cohort,65.7%,41.8%,0.7%,41%,23.9%,10.4%,22.4%
10X434,BELMONT PREPARATORY HIGH SCHOOL,2005,Total Cohort,55.2%,49%,8.300000000000001%,40.6%,6.3%,32.299999999999997%,10.4%
10X434,BELMONT PREPARATORY HIGH SCHOOL,2006,Total Cohort,63.5%,61.5%,3.1%,58.3%,2.1%,22.9%,11.5%
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,2005,Total Cohort,70.8%,37.1%,1.1%,36%,33.700000000000003%,6.7%,11.2%
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,2006,Total Cohort,73.2%,50%,9.800000000000001%,40.200000000000003%,23.2%,13.4%,7.3%
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINE,2005,Total Cohort,48%,36.6%,1.6%,35%,11.4%,25.2%,22%
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINE,2006,Total Cohort,51.4%,48.6%,2.8%,45.8%,2.8%,20.8%,16%
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNI,2005,Total Cohort,50.5%,42.3%,3.1%,39.200000000000003%,8.199999999999999%,30.9%,18.600000000000001%
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNI,2006,Total Cohort,40%,31.3%,3.5%,27.8%,8.699999999999999%,43.5%,12.2%
10X440,DEWITT CLINTON HIGH SCHOOL,2005,Total Cohort,60.3%,44.2%,17.5%,26.8%,16.100000000000001%,22.2%,13.7%
10X440,DEWITT CLINTON HIGH SCHOOL,2006,Total Cohort,56.5%,39.200000000000003%,11.5%,27.6%,17.3%,21.3%,17.5%
10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,2005,Total Cohort,67.599999999999994%,51.4%,8.1%,43.2%,16.2%,23%,2.7%
10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,2006,Total Cohort,74.400000000000006%,53.7%,13.4%,40.200000000000003%,20.7%,17.100000000000001%,7.3%
10X445,BRONX HIGH SCHOOL OF SCIENCE,2005,Total Cohort,98.8%,98.8%,97.8%,1%,0%,1%,0%
10X445,BRONX HIGH SCHOOL OF SCIENCE,2006,Total Cohort,98.4%,98.4%,97.8%,0.6%,0%,1.6%,0%
10X475,JOHN F. KENNEDY HIGH SCHOOL,2005,Total Cohort,39.1%,16.899999999999999%,0.1%,16.8%,22.2%,24.7%,18.3%
10X475,JOHN F. KENNEDY HIGH SCHOOL,2006,Total Cohort,35.700000000000003%,19.3%,2.8%,16.5%,16.3%,23.5%,29.3%
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,2005,Total Cohort,87.4%,82.1%,15.8%,66.3%,5.3%,11.6%,1.1%
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,2006,Total Cohort,88.8%,86%,21.5%,64.5%,2.8%,8.4%,0%
10X495,UNIVERSITY HEIGHTS,2005,Total Cohort,86.8%,48.1%,0%,48.1%,38.700000000000003%,4.7%,8.5%
10X495,UNIVERSITY HEIGHTS,2006,Total Cohort,90.6%,40.200000000000003%,0%,40.200000000000003%,50.4%,0%,7.7%
10X546,BRONX THEATRE HIGH SCHOOL,2005,Total Cohort,66%,39%,1%,38%,27%,20%,13%
10X546,BRONX THEATRE HIGH SCHOOL,2006,Total Cohort,51.9%,31.5%,2.8%,28.7%,20.399999999999999%,27.8%,18.5%
10X549,DISCOVERY HIGH SCHOOL,2005,Total Cohort,54.5%,42.6%,20.8%,21.8%,11.9%,24.8%,11.9%
10X549,DISCOVERY HIGH SCHOOL,2006,Total Cohort,64.599999999999994%,58.3%,25%,33.299999999999997%,6.3%,15.6%,13.5%
10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2005,Total Cohort,41.4%,22.1%,3%,19.100000000000001%,19.3%,30.5%,22.6%
10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2006,Total Cohort,42%,28.5%,1.9%,26.5%,13.5%,26%,27.1%
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,2005,Total Cohort,96%,96%,81.3%,14.7%,0%,2.7%,0%
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,2006,Total Cohort,97.4%,97.4%,87.2%,10.3%,0%,1.3%,1.3%
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,2005,Total Cohort,95.1%,88.5%,9.800000000000001%,78.7%,6.6%,0%,4.9%
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,2006,Total Cohort,96.6%,96.6%,19%,77.599999999999994%,0%,3.4%,0%
11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2005,Total Cohort,62.5%,31.3%,1%,30.2%,31.3%,14.6%,18.8%
11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2006,Total Cohort,66.900000000000006%,56.8%,2.5%,54.2%,10.199999999999999%,18.600000000000001%,11.9%
11X265,BRONX LAB SCHOOL,2005,Total Cohort,74%,38.5%,0%,38.5%,35.4%,26%,0%
11X265,BRONX LAB SCHOOL,2006,Total Cohort,62.8%,33%,1.1%,31.9%,29.8%,29.8%,7.4%
11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,2005,Total Cohort,59.2%,31%,4.2%,26.8%,28.2%,29.6%,9.9%
11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,2006,Total Cohort,66.2%,46.2%,3.1%,43.1%,20%,29.2%,3.1%
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2005,Total Cohort,78.900000000000006%,55.8%,1.1%,54.7%,23.2%,18.899999999999999%,1.1%
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2006,Total Cohort,82.2%,66.7%,12.2%,54.4%,15.6%,14.4%,3.3%
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2005,Total Cohort,71.7%,55.8%,19.5%,36.299999999999997%,15.9%,12.4%,11.5%
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2006,Total Cohort,74.400000000000006%,66.900000000000006%,29.8%,37.200000000000003%,7.4%,6.6%,15.7%
11X290,BRONX ACADEMY OF HEALTH CAREERS,2005,Total Cohort,62.9%,48.6%,5.7%,42.9%,14.3%,19%,14.3%
11X290,BRONX ACADEMY OF HEALTH CAREERS,2006,Total Cohort,62.6%,53.5%,6.1%,47.5%,9.1%,19.2%,18.2%
11X299,ASTOR COLLEGIATE ACADEMY,2005,Total Cohort,73.7%,35.799999999999997%,4.2%,31.6%,37.9%,21.1%,4.2%
11X299,ASTOR COLLEGIATE ACADEMY,2006,Total Cohort,64.900000000000006%,40.5%,0.9%,39.6%,24.3%,25.2%,9%
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2005,Total Cohort,35.9%,18.399999999999999%,2.3%,16.100000000000001%,17.5%,37.5%,17.7%
